title,popularity,favorites,studios
Kono Minikuku mo Utsukushii Sekai,3107,163,Gainax|Shaft
Kimi ga Nozomu Eien,1775,1106,Studio Fantasia
Kita e.: Diamond Dust Drops,7102,11,Studio Deen
Loveless,1804,1296,J.C.Staff
Blood+,678,4519,Production I.G
Re: Cutie Honey,4401,211,Gainax|Toei Animation
Solty Rei,4453,142,Gonzo|AIC
Juuni Kokuki,1590,2651,Studio Pierrot
Shaman King,707,3763,Xebec
X/1999,3873,149,Madhouse
X,2555,780,Madhouse
Mahou Sensei Negima!,1794,509,Xebec
Maria-sama ga Miteru,2808,729,Studio Deen
Boukyaku no Senritsu,5454,42,J.C.Staff
"Ima, Soko ni Iru Boku",1679,1269,AIC
Peace Maker Kurogane,3203,282,Gonzo
Pita Ten,4956,94,Madhouse
Power Stone,7444,24,Studio Pierrot
Mononoke Hime,108,24196,Studio Ghibli
RahXephon,1994,1024,Bones
Samurai 7,1888,728,Gonzo
Scrapped Princess,2330,439,Bones
s.CRY.ed,2578,696,Sunrise
Shingetsutan Tsukihime,1526,710,J.C.Staff
Slam Dunk,823,8146,Toei Animation
Strange Dawn,8192,10,HAL Film Maker
Tactics,3907,172,Studio Deen
Tenjou Tenge,1387,637,Madhouse
Tokyo Underground,4527,53,Studio Pierrot
Triangle Heart: Sweet Songs Forever,7924,7,Seven Arcs
Tsubasa Chronicle,1172,2070,Bee Train
Ultra Maniac,4241,151,Ashi Productions
Ultra Maniac OVA,8873,3,Ashi Productions
Vandread,2540,445,Gonzo
Vandread: The Second Stage,3319,124,Gonzo
Tenkuu no Escaflowne,1554,2294,Sunrise
Whistle!,6000,83,Studio Comet
Xenosaga The Animation,5278,49,Toei Animation
Initial D First Stage,607,13945,Gallop|Studio Comet
Initial D Second Stage,1070,1220,Pastel
Initial D Third Stage,1347,736,Studio Deen
Gosenzo Sane,10497,11,AIC
Love Hina,998,1529,Xebec
Love Hina Again,2564,89,Xebec
Love Hina Christmas Special: Silent Eve,3231,50,Xebec
Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,3395,21,Xebec
Maburaho,2351,237,J.C.Staff
Macross Zero,3917,129,Satelight
Onegai☆Teacher,1465,1005,Daume
Onegai☆Twins,2466,190,Daume
Rizelmine,4859,54,Madhouse|Imagin
Speed Grapher,2019,651,Gonzo
Sen to Chihiro no Kamikakushi,44,35050,Studio Ghibli
Tenshi na Konamaiki,4619,156,TMS Entertainment
Video Girl Ai,4375,152,Production I.G
Wolf's Rain,779,5974,Bones
Words Worth,7352,38,Arms
Yumeria,4677,34,Studio Deen
Samurai Champloo,112,41125,Manglobe
Lodoss-tou Senki: Eiyuu Kishi Den,4053,148,AIC
Lodoss-tou Senki,2448,826,Madhouse
R.O.D: Read or Die,2818,370,Studio Deen
R.O.D: The TV,2857,452,J.C.Staff
Ranma ½,988,4701,Studio Deen
Pure Mail,10112,11,Datama Film
Project A-Ko,4985,166,APPP
Pia Carrot e Youkoso!!,9864,3,Triple X
Pia Carrot e Youkoso!! 2,10983,3,Triple X
Pia Carrot e Youkoso!! 2 DX,10746,3,Garyuu Studio
Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,10582,1,I-move
Shin Angel,10432,12,Arms
Kidou Senkan Nadesico,3227,507,Xebec
Kidou Senkan Nadesico: The Prince of Darkness,5669,33,Xebec
Kuro no Danshou,10756,13,JOF
Mezzo Forte,4110,125,Arms
Mezzo DSA,4852,84,Arms
Dragon Ball,151,17933,Toei Animation
Dragon Ball GT,357,2323,Toei Animation
Elfen Lied,81,25153,Arms
FLCL,234,33147,Gainax|Production I.G
Jigoku Shoujo,705,3375,Studio Deen
Ninin ga Shinobuden,4187,139,ufotable
Air Master,3895,167,Toei Animation
Asagiri no Miko,7552,6,Chaos Project|GANSIS
Cardcaptor Sakura,535,14782,Madhouse
Daa! Daa! Daa!,4810,263,J.C.Staff
Dan Doh!!,9409,3,Tokyo Kids
Meitantei Conan,725,16043,TMS Entertainment
E's Otherwise,5770,26,Studio Pierrot
Koukyoushihen Eureka Seven,569,9361,Bones
Rekka no Honoo,2900,275,Studio Pierrot
Gankutsuou,1040,4055,Gonzo
Genshiken,1440,1556,Palm Studio
Girls Bravo: First Season,1677,338,AIC Spirits
Gokusen,3455,288,Madhouse
Gravitation,2024,1140,Studio Deen
Agatha Christie no Meitantei Poirot to Marple,7632,26,OLM
Great Teacher Onizuka,221,28715,Studio Pierrot
Groove Adventure Rave,2283,388,Studio Deen
Harukanaru Toki no Naka de: Hachiyou Shou,4881,119,Yumeta Company
Ichigo 100%,2097,264,Madhouse
